Nome,Quantita,Unità di misura
Lievito istantaneo per dolce,0,Cucchiaino
Stoccafisso già ammollato in filetti,0,g
Olio di semi di girasole,0,ml
Pepe,0,Unità
Cocco rapé,0,g
Lime il succo e la buccia grattugiata,0,Unità
Fleur de sel,0,g
Zucchine piccole,0,Unità
Semi di zucca,0,Cucchiaio
Lievito alimentare secco,0,Cucchiaio
Tomino fresco,0,g
Robiola fresca,0,g
Cappesante,0,Unità
Uova di quaglia,0,Unità
Olive taggiasche,0,Cucchiai
Spinaci novelli,0,Manciata
Cavoli cappuccio viola,0,g
Edamame surgelati,0,Cucchiai
Pomodori medi,0,Unità
Amaranto,0,g
Miele d'acacia,0,g
Semola,0,g
Quinoa mista a bulgur,0,g
Farina tipo 0,0,g
Pomodori pachino,0,Unità
Stracchino,0,g
Pancetta,0,g
"Prezzemolo fresco, le foglie",0,Unità
Fecola di patate,0,g
Bietola novelle,0,g
Prosciutto in dadini,0,g
Mais dolce,0,g
Yogurt bianco denso,0,g
Olio extravergine di oliva per spennellare,0,Unità
Friggitelli,0,Unità
Limoni,0,Cucchiai
Sale rosa dell'Himalaya,0,Unità
Uova di lompo,0,Unità
Pepe bianco,0,Unità
Pomodori succo,0,ml
Limone scorza grattugiata,0,Cucchiaino
Pomodori Camone,0,g
Miglio decorticato,0,g
Olive verdi denocciolate,0,g
Semi di Canapa,0,g
Origano fresco tritato,0,Cucchiai
"Pepe nero, macinato fresco",0,Unità
Pomodori pomodorini,0,Unità
Pane tipo topolino,0,Unità
Aglio novello,0,Spicchio
Fontina,0,g
Asiago,0,g
Salame,0,g
Cipolle novelle,0,Unità
Asparago,0,Unità
Carciofo,0,Unità
Bietola,0,g
Mortadella,0,Unità
Formaggio Emmenthal,0,Fette
Limone la buccia grattugiata,0,Cucchiaino
Mozzarella fior di latte,0,Unità
Fragole,0,g
Tofu,0,g
Zucchine medie,0,Unità
Lievito istantaneo per tolte salate,0,g
Zucchine piccola,0,Unità
Mandorla,0,Manciata
Piselli lessi,0,g
Cumino,0,Cucchiaino
Limoni scorza grattugiata,0,Cucchiai
Birra,0,ml
Lievito istantaneo per torte e focacce,0,g
Olio di arachide,0,Unità
Triglia,0,Unità
Insalata Lusia I.G.P.,0,Cespo
Latte intero fresco,0,Unità
Salame in formato bastoncino,0,unità
Semi di zucca decorticati,0,unità
Carote novella,0,Unità
Tonno al naturale in scatola,0,Scatoletta
Sale alla misticanza di fiori,0,Unità
Germogli di alfa alfa,0,Unità
Fave,0,Manciata
Tofu naturale a pasta ferma,0,g
Bulgur,0,Bicchiere
Quinoa,0,Bicchiere
Curry piccante,0,Cucchiai
Maggiorana fresca,0,Cucchiaio
Mandorle farina,0,g
Pistacchi farina,0,g
Zucchero a velo,0,g
Zucchero semolato,0,g
Pepe bianco macinato fresco,0,g
Finocchio semi,0,g
Fava fresche,0,g
Pollo petto a fette,0,g
Prugne secche,0,Unità
Mais farina,0,Unità
Yogurt magro,0,Vasetto
Ricotta salata,0,unità
Aglio spicchio,0,rotoli
Coriandolo in polvere,0,Unità
Cumino in semi,0,Unità
Salsa di pesce,0,Cucchiai
Brodo di pollo,0,ml
Citronella,0,gambo
Galangal,0,Fetta
Kaffir lime,0,Foglia
Broccolo romano,0,g
Broccolo siciliano,0,g
Cipollotto piccolo,0,Unità
Stracciatella,0,g
Peperoncino in scaglie,0,Unità
Farina senza glutine,0,g
Parmigiano grattugiato,0,g
Scamorza affumicata grattugiata,0,g
Limone succo,0,Unità
Coniglio costolette,0,Unità
Fava già sbucciate,0,g
Riso fiocchi integrali,0,Manciata
Frumento fiocchi integrali,0,Manciata
Pistacchi sbucciato,0,Manciata
Yogurt intero al naturale,0,Cucchiai
Pompelmo rosa,0,Unità
Colorante alimentare,0,Unità
Pane tipo casereccio,0,Fetta
Bacon,0,Fetta
Senape al miele,0,Cucchiai
Uova bio,0,Unità
Insalata misticanza,0,Unità
Aceto di vino,0,Cucchiaino
Parmigiano reggiano,0,g
Bottarga di Muggine,0,Pezzetto
Lamponi,0,Unità
Pepe macinato,0,Unità
Pane carasau,0,Unità
Parmigiano reggiano a scaglie,0,Cucchiaio
Misticanza,0,g
Limone bio,0,unità
Zenzero radice fresca grattugiata,0,cm
Alici fresche,0,g
Pepe bianco macinato,0,g
Pesce Spada affumicato in carpaccio,0,g
Agretti,0,g
Semola di grano duro rimacinata,0,g
Fave baccelli,0,g
Fave sgranate crude,0,g
Gelatina caprino morbido,0,g
Meringhe grandi,0,Unità
Lievito istantaneo per preparazioni salate,0,Unità
Latte a temperatura ambiente,0,ml
Burro a temperatura ambiente,0,g
Yogurt,0,g
Piselli freschi al netto degli scarti,0,g
Fiori di borraggine,0,Unità
Farina di mais per polenta istantanea,0,g
Topinambur di medie dimensioni,0,Unità
Verza,0,g
Carne di maiale macinata,0,g
Olio di semi tostato,0,Cucchiaino
Porro di medie dimensioni,0,unità
Wasabi in pasta,0,Unità
Ceci neri,0,g
Pistacchi di Bronte,0,g
Pasta sfoglia già pronta,0,Unità
Piselli in scatola sgocciolati,0,g
